,,,,,,,,,（人）,,,（人）,,,（人）,,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,（人）,,,（人）,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,
,,,,,,,,,計,男,女,計,男,女,計,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,計,男,女,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,
00200,            ,            ,  ,,54,,5341,鉄鋼粗製品卸売業,"6,548","4,866","1,682","6,290","4,727","1,563","6,175","4,651","1,524",669,211,"5,295","3,982","1,313","3,732","1,033",250,280,93,30,42,3,75,41,13,50,463,115,76,39,40,2,2,15,56,34,22,30,20,4,2,-,1,-,-,-,-,-,-,6,
00200,            ,            ,  ,,55,,5342,鉄鋼一次製品卸売業,"56,569","39,903","16,666","56,998","41,285","15,713","56,420","40,917","15,503","4,345","1,178","50,897","36,572","14,325","34,750","12,577","1,822","1,748",517,214,"3,097",507,961,263,235,976,"3,120",578,368,210,199,18,13,44,304,156,148,140,123,16,25,2,7,-,-,-,-,-,-,36,
00200,            ,            ,  ,,56,,5349,その他の鉄鋼製品卸売業,"24,362","17,411","6,951","23,733","17,138","6,595","23,452","16,972","6,480","1,962",559,"20,931","15,010","5,921","13,841","4,807","1,169","1,114",284,85,337,25,247,50,76,242,"2,036",281,166,115,107,7,7,35,125,52,73,42,56,10,17,3,4,-,-,-,-,-,-,23,
00200,            ,            ,  ,,57,,535,非鉄金属卸売業,"25,051","17,074","7,977","24,239","16,739","7,500","23,673","16,422","7,251","2,303",687,"20,683","14,119","6,564","13,116","5,007","1,003","1,557",209,95,331,46,342,70,106,342,"2,179",566,317,249,177,25,20,55,289,120,169,93,99,27,70,9,15,-,-,-,1,-,-,78,
00200,            ,            ,  ,,58,,5351,非鉄金属地金卸売業,"6,616","4,171","2,445","6,456","4,127","2,329","6,193","3,994","2,199",619,228,"5,346","3,375","1,971","3,104","1,241",271,730,37,27,88,20,66,12,24,87,846,263,133,130,75,16,10,23,139,48,91,40,46,8,45,5,10,-,-,-,-,-,-,40,
00200,            ,            ,  ,,59,,5352,非鉄金属製品卸売業,"18,435","12,903","5,532","17,783","12,612","5,171","17,480","12,428","5,052","1,684",459,"15,337","10,744","4,593","10,012","3,766",732,827,172,68,243,26,276,58,82,255,"1,333",303,184,119,102,9,10,32,150,72,78,53,53,19,25,4,5,-,-,-,1,-,-,38,
00200,            ,            ,  ,,60,,536,再生資源卸売業,"56,471","43,204","13,267","54,377","41,454","12,923","47,929","36,843","11,086","5,981","2,404","39,544","30,862","8,682","25,875","5,592","4,987","3,090",865,245,487,73,331,39,664,84,"6,336","6,448","4,611","1,837","2,187",111,249,639,"3,262","2,175","1,087","1,551",792,624,295,365,38,14,1,8,1,18,11,769,
00200,            ,            ,  ,,61,,5361,空瓶・空缶等空容器卸売業,"3,402","2,461",941,"3,250","2,338",912,"2,848","2,046",802,386,147,"2,315","1,660",655,"1,295",387,365,268,27,11,4,3,9,1,50,9,497,402,292,110,137,9,13,46,197,142,55,91,44,51,11,30,2,1,-,-,-,12,9,48,
00200,            ,            ,  ,,62,,5362,鉄スクラップ卸売業,"19,910","15,404","4,506","19,244","14,839","4,405","16,317","12,712","3,605","2,263",964,"13,090","10,449","2,641","9,128","1,895","1,321",746,295,56,64,5,130,9,85,29,"1,667","2,927","2,127",800,"1,024",41,133,290,"1,439",970,469,734,349,236,120,119,13,8,1,5,-,3,-,317,
00200,            ,            ,  ,,63,,5363,非鉄金属スクラップ卸売業,"10,264","7,697","2,567","9,826","7,328","2,498","8,375","6,290","2,085","1,383",570,"6,422","4,907","1,515","4,108","1,041",799,474,118,40,20,17,52,9,118,33,"1,012","1,451","1,038",413,500,23,40,136,752,498,254,361,200,137,54,98,3,-,-,2,1,1,-,151,
